English,Marathi
skull,कवटी
cord,दोरखंड
fixed,निश्चित
equivalent,समतुल्य
casino,कॅसिनो
reliability,विश्वसनीयता
expected,अपेक्षित
boil,उकळवा
whip,चाबूक
divine,दिव्य
proposition,प्रस्ताव
census,जनगणना
correction,#VALUE!
jump,उडी
diary,डायरी
nest,घरटे
statute,कायदे
exam,#VALUE!
metropolitan,मेट्रोपॉलिटन
star,तारा
nutrition,पोषण
breeze,#VALUE!
illusion,#VALUE!
anonymous,अज्ञात
coup,सत्ता
midst,मध्यभागी
edit,सुधारणे
experienced,अनुभवी
castle,किल्लेवजा वाडा
sort,क्रमवारी
exploit,#VALUE!
jewelry,दागिने
diabetes,मधुमेह
translation,अनुवाद
Dutch,डच
upset,नाराज
harm,हानी
irony,विडंबन
associated,#VALUE!
utilize,उपयोग
rabbit,ससा
soap,साबण
booth,बूथ
minimum,किमान
immune,रोगप्रतिकारक
gut,आतडे
appreciation,कौतुक
cast,#VALUE!
scramble,स्क्रॅमबल
upstairs,वरच्या मजल्यावरील
punch,पंच
gross,स्थूल
liability,उत्तरदायित्व
accessible,प्रवेशयोग्य
mechanic,मेकॅनिक
ass,गाढव
aesthetic,सौंदर्याचा
dessert,#VALUE!
waist,कंबर
alike,एकसारखे
brave,शूर
loop,लूप
passing,जात आहे
partially,अंशतः
statistical,सांख्यिकीय
correctly,योग्यरित्या
pin,पिन
practitioner,प्रॅक्टिशनर
encouraging,उत्साहवर्धक
syndrome,सिंड्रोम
tribal,आदिवासी
persist,चालू ठेवा
trash,कचरा
teenage,किशोरवयीन
self-esteem,स्वत: ची प्रशंसा
preliminary,प्राथमिक
stay,रहा
sunset,सूर्यास्त
harassment,छळ
reportedly,रिपोर्टली
quote,कोट
fever,ताप
panic,घबराट
charter,सनद
outlook,आउटलुक
foster,पालक
comprise,समावेश
known,ज्ञात
Thanksgiving,थँक्सगिव्हिंग
short-term,अल्प-मुदती
shed,शेड
cooperative,सहकारी
alley,#VALUE!
subsidy,अनुदान
secular,धर्मनिरपेक्ष
aluminum,अॅल्युमिनियम
cliff,उंच कडा
gram,#VALUE!
outline,बाह्यरेखा
mentally,मानसिकदृष्ट्या
invade,आक्रमण करा
confrontation,संघर्ष
sacrifice,बलिदान
dissolve,विरघळ
shy,लाजाळू
coin,नाणे
speculation,अनुमान
creativity,सर्जनशीलता
custody,कोठडी
interfere,हस्तक्षेप
spoon,चमच्याने
bee,मधमाशी
rolling,#VALUE!
interact,संवाद
damn,धिक्कार
dam,धरण
unfair,अन्याय
someday,एखाद्या दिवशी
liquid,द्रव
disclose,उघड करा
mushroom,मशरूम
disabled,अक्षम
counter,काउंटर
catalog,कॅटलॉग
gaze,टक लावून पाहणे
publicity,प्रसिद्धी
compel,सक्ती करा
cease,#VALUE!
ideal,आदर्श
decorate,#VALUE!
surrounding,सभोवताल
exclusively,केवळ
bonus,बोनस
unprecedented,अभूतपूर्व
oversee,देखरेख
touchdown,टचडाउन
federation,फेडरेशन
aggression,आगळीक
behalf,वतीने
well-known,सुप्रसिद्ध
donation,देणगी
desperately,हताशपणे
reward,प्रतिफळ भरून पावले
high-tech,हाय-टेक
cheat,फसवणूक
audio,ऑडिओ
sensation,खळबळ
entrepreneur,उद्योजक
proclaim,घोषणा
supplier,पुरवठादार
rival,प्रतिस्पर्धी
reminder,स्मरणपत्र
heal,बरे
case,केस
beast,बीस्ट
uncover,उघड
merit,गुणवत्ता
momentum,चालना
stimulate,उत्तेजित
rational,तर्कसंगत
columnist,स्तंभलेखक
pioneer,पायनियर
biology,जीवशास्त्र
photography,छायाचित्रण
innovative,नाविन्यपूर्ण
purse,पर्स
franchise,फ्रेंचायझी
consent,संमती
outfit,आउटफिट
eve,संध्याकाळ
spray,स्प्रे
shove,shove
fisherman,मच्छीमार
sensitivity,संवेदनशीलता
courtesy,शिष्टाचार
stack,स्टॅक
pork,डुकराचे मांस
teammate,सहकारी
instant,झटपट
pulse,नाडी
outsider,बाहेरील
pro,समर्थक
helmet,शिरस्त्राण
ladder,शिडी
openly,उघडपणे
fierce,भयंकर
bet,पैज
required,आवश्यक
shrink,संकुचित
cute,#VALUE!
dot,ठिपके
weaken,कमकुवत
filter,फिल्टर
worldwide,जगभरात
envision,कल्पना
videotape,व्हिडिओटेप
partial,आंशिक
patent,पेटंट
tray,ट्रे
jungle,जंगल
classify,वर्गीकरण
specialty,वैशिष्ट्य
nasty,#VALUE!
aisle,गर्दी
graph,आलेख
wound,जखमे
sexy,मादक
disturb,त्रास
excessive,जास्त
banker,बँकर
aid,मदत
installation,स्थापना
swimming,पोहणे
placement,प्लेसमेंट
attendance,#VALUE!
informal,अनौपचारिक
sack,पोते
flood,पूर
eighth,#VALUE!
premise,आधार
grill,ग्रील
model,मॉडेल
dying,मरणार
colorful,रंगीबेरंगी
hockey,हॉकी
backyard,बॅकयार्ड
collar,कॉलर
breathing,श्वास
logical,तार्किक
lightning,लाइटनिंग
dried,वाळलेल्या
discount,सूट
sole,एकमेव
boast,बढाई मारणे
tag,टॅग
sibling,भावंड
stove,स्टोव्ह
trainer,ट्रेनर
vertical,अनुलंब
added,#VALUE!
marketplace,बाजारपेठ
cure,बरा
curiosity,कुतूहल
organizational,संघटनात्मक
shrimp,कोळंबी मासा
inherit,वारसा
color,रंग
distract,विचलित करा
isolated,पृथक
planner,नियोजक
supposedly,समजा
likewise,त्याचप्रमाणे
monkey,माकड
toll,टोल
embarrassed,लाजिरवाणे
deliberately,मुद्दाम
bicycle,सायकल
stance,भूमिका
orbit,कक्षा
hormone,संप्रेरक
depressed,उदास
organism,जीव
deploy,तैनात करणे
strictly,काटेकोरपणे
deem,deem
eyebrow,#VALUE!
legally,कायदेशीररित्या
puzzle,कोडे
icon,#VALUE!
pat,पॅट
closest,सर्वात जवळ
sneak,डोकावून घ्या
fleet,फ्लीट
conservation,संवर्धन
supportive,सहाय्यक
comparable,#VALUE!
texture,पोत
access,प्रवेश
striking,टोलावणे
associate,सहयोगी
Christianity,ख्रिश्चन धर्म
dip,बुडविणे
disappointment,निराशा
sleeve,बाही
socially,सामाजिक
wheat,गहू
chunk,चंक
two-thirds,दोन तृतीयांश
pile,ढीग
refuge,आश्रय
blank,रिक्त
unfold,उलगडणे
considerably,बर्‍यापैकी
frontier,#VALUE!
faster,#VALUE!
suspicious,संशयास्पद
conception,संकल्पना
feather,पंख
elephant,हत्ती
rain,पाऊस
cure,बरा
near,जवळ
intellectual,बौद्धिक
textbook,#VALUE!
joke,विनोद
glimpse,#VALUE!
inevitably,अपरिहार्यपणे
triumph,विजय
plunge,डुबकी
sphere,गोल
hunger,भूक
density,घनता
cheer,आनंद
balanced,संतुलित
protocol,प्रोटोकॉल
part,#VALUE!
legislator,आमदार
auction,लिलाव
equality,समानता
risky,धोकादायक
cemetery,स्मशानभूमी
builder,बिल्डर
awake,जागृत
retailer,किरकोळ विक्रेता
debut,पदार्पण
tighten,घट्ट करणे
spare,अतिरिक्त
compromise,तडजोड
constraint,#VALUE!
compliance,अनुपालन
sponsor,प्रायोजक
emerging,उदयोन्मुख
this,हे
elaborate,विस्तृत
atop,वर
chew,चर्वण
similarity,समानता
pencil,पेन्सिल
calculation,गणना
tolerance,सहिष्णुता
astronomer,खगोलशास्त्रज्ञ
bulk,बल्क
arm,हात
interval,मध्यांतर
notebook,नोटबुक
genre,शैली
likelihood,शक्यता
liberal,उदारमतवादी
streak,स्ट्रीक
rib,बरगडी
scent,सुगंध
validity,वैधता
grin,हसणे
steer,स्टीयर
intact,अखंड
shark,शार्क
uh,अरे
programming,प्रोग्रामिंग
dumb,#VALUE!
formerly,पूर्वी
squad,पथक
comply,पालन ​​करा
debris,मोडतोड
peasant,शेतकरी
outlet,आउटलेट
chase,पाठलाग
neat,व्यवस्थित
valid,वैध
kingdom,#VALUE!
solely,पूर्णपणे
eligible,पात्र
regret,खंत
municipal,नगरपालिका
strain,मानसिक ताण
deposit,ठेव
transport,वाहतूक
dough,पीठ
lid,झाकण
voluntary,ऐच्छिक
journalism,पत्रकारिता
any,कोणतीही
impulse,प्रेरणा
policeman,पोलिस
objection,आक्षेप
thrive,भरभराट
privately,खाजगीरित्या
cling,चिकटून
halfway,अर्धा मार्ग
unhappy,नाखूष
rally,रॅली
scratch,स्क्रॅच
robot,रोबोट
conversion,रूपांतरण
supermarket,सुपरमार्केट
blink,डोळे मिचकावणे
philosophical,तत्वज्ञान
happily,आनंदाने
thread,धागा
allegedly,कथितपणे
ash,राख
dynamics,गतिशीलता
denial,नकार
riot,दंगा
soar,shoar
mentor,मेंटोर
beard,दाढी
widow,विधवा
offender,गुन्हेगार
landmark,लँडमार्क
apart,बाजूला
instant,झटपट
routinely,नियमितपणे
butt,बट
forbid,मना
bomb,बॉम्ब
migration,स्थलांतर
carrot,गाजर
harmony,सुसंवाद
downtown,डाउनटाउन
brutal,क्रूर
prevail,प्रचलित
weed,तण
exhaust,दमट
pasta,पास्ता
distinctive,विशिष्ट
fraction,#VALUE!
remark,टिप्पणी
emotionally,भावनिक
poke,पोक
guarantee,हमी
dancing,नृत्य
trouble,समस्या
freshman,#VALUE!
suitable,योग्य
youngster,तरुण
slavery,गुलामगिरी
balloon,बलून
opt,निवड
crowded,गर्दी
liver,यकृत
listener,श्रोता
calm,शांत
ironically,उपरोधिकपणे
affirmative,होकारार्थी
commodity,वस्तू
fur,फर
freely,मुक्तपणे
light,प्रकाश
removal,काढणे
regard,संदर्भ
round,गोल
goat,बकरी
shareholder,भागधारक
expedition,मोहीम
loyal,#VALUE!
conscience,विवेक
fragile,नाजूक
calendar,कॅलेंडर
mineral,खनिज
coming,येणाऱ्या
circle,मंडळ
fare,भाडे
blessing,आशीर्वाद
liberation,मुक्ती
steak,#VALUE!
liquid,द्रव
ecological,पर्यावरणीय
banana,केळी
catch,झेल
steadily,हळूवारपणे
blast,ब्लास्ट
nonprofit,नानफा
mobile,मोबाईल
straw,पेंढा
projection,प्रोजेक्शन
rubber,रबर
overnight,#VALUE!
neighboring,शेजारील
enact,कायदे करा
favorable,अनुकूल
severely,कठोरपणे
demographic,डेमोग्राफिक
terrain,भूप्रदेश
explicit,स्पष्ट
integrated,समाकलित
terribly,भयानक
veteran,अनुभवी
level,स्तर
sofa,सोफा
screw,स्क्रू
shield,ढाल
invention,शोध
Iraqi,इराकी
perceived,ज्ञात
leave,सोडा
cruel,क्रूर
bomber,बॉम्बर
provoke,चिथावणी द्या
autonomy,#VALUE!
publishing,प्रकाशन
retreat,माघार
theology,ब्रह्मज्ञान
substantially,भरीव
mansion,हवेली
developmental,#VALUE!
one-third,एक तृतीयांश
transmit,प्रसारण
contemplate,चिंतन
authorize,अधिकृत करा
mathematics,गणित
battle,लढाई
old-fashioned,जुन्या काळातील
lawmaker,खासदार
threshold,उंबरठा
radar,रडार
seldom,क्वचितच
low,निम्न
headache,डोकेदुखी
rental,भाडे
spy,हेर
patron,संरक्षक
driveway,ड्राईवे
till,पर्यंत
broadcast,प्रसारण
overwhelm,भारावून
coordinate,समन्वय
vendor,विक्रेता
transport,वाहतूक
fragment,तुकडा
hammer,#VALUE!
seminar,सेमिनार
availability,उपलब्धता
peanut,शेंगदाणा
fantastic,विलक्षण
depart,निघून जा
permit,परवानगी
cottage,कॉटेज
specify,निर्दिष्ट करा
frustrate,निराश
disturbing,त्रासदायक
artifact,कलाकृती
basin,बेसिन
regain,पुन्हा मिळवा
grape,द्राक्षे
ego,अहंकार
sometime,कधीतरी
organized,संघटित
charm,मोहिनी
sweater,स्वेटर
rim,रिम
speculate,सट्टा
delight,आनंद
fatigue,थकवा
devastating,विनाशकारी
instructional,सूचना
plea,विनंती
tourism,पर्यटन
crowd,गर्दी
warmth,कळकळ
jurisdiction,कार्यक्षेत्र
update,अद्यतन
accusation,आरोप
diagram,आकृती
middle-class,मध्यमवर्ग
graduation,पदवी
mention,उल्लेख
beyond,पलीकडे
within,आत
spark,ठिणगी
convenience,सोयी
chill,थंडगार
economically,आर्थिकदृष्ट्या
undergraduate,पदवीधर
dictate,हुकूम
regulator,नियामक
defender,डिफेंडर
workout,व्यायाम
accurately,अचूकपणे
tile,टाइल
foreigner,परदेशी
importantly,महत्त्वाचे
citizenship,नागरिकत्व
plaza,प्लाझा
devise,तयार करा
premium,प्रीमियम
chemistry,रसायनशास्त्र
bureaucracy,#VALUE!
inherent,अंतर्निहित
hazard,धोका
swell,सूज
bride,वधू
bow,#VALUE!
processor,प्रोसेसर
bucket,बादली
timber,लाकूड
feminist,स्त्रीवादी
till,पर्यंत
tumor,#VALUE!
apology,दिलगिरी
screening,#VALUE!
arrow,बाण
marker,मार्कर
sunny,सनी
technician,तंत्रज्ञ
homework,गृहपाठ
fog,धुके
soak,भिजवा
mortality,मृत्यू दर
flying,उड्डाण करणारे हवाई परिवहन
accountability,उत्तरदायित्व
skilled,कुशल
straighten,सरळ करा
sprinkle,शिंपडा
cue,क्यू
epidemic,साथरोग
articulate,अभिव्यक्ती
rehabilitation,पुनर्वसन
diplomat,मुत्सद्दी
ribbon,रिबन
transit,संक्रमण
militia,मिलिशिया
kneel,गुडघे टेकले
seller,विक्रेता
fatal,प्राणघातक
twist,पिळणे
compelling,आकर्षक
praise,स्तुती
copy,कॉपी
well-being,कल्याण
laundry,कपडे धुऊन मिळण्याचे ठिकाण
screen,स्क्रीन
confession,कबुली
twentieth,विसाव्या
dense,घनदाट
accelerate,गती वाढवा
tribute,श्रद्धांजली
smoking,धूम्रपान
aboard,जहाजात
marble,संगमरवरी
entertain,मनोरंजन
boring,कंटाळवाणा
scrutiny,छाननी
bizarre,विचित्र
bargain,सौदा
deeper,सखोल
drown,#VALUE!
biography,चरित्र
naval,नौदल
nationwide,देशभरात
skeptical,संशयी
shorts,शॉर्ट्स
lens,लेन्स
spit,थुंकणे
sexuality,लैंगिकता
rape,बलात्कार
warehouse,गोदाम
paradise,नंदनवन
nominate,नामांकन
developed,विकसित
campaign,#VALUE!
unfortunate,दुर्दैवी
grandchild,नातवंडे
tenure,कार्यकाळ
preach,उपदेश
slot,स्लॉट
stereotype,स्टिरिओटाइप
bulb,#VALUE!
weave,विणणे
merger,विलीनीकरण
inadequate,अपुरे
objective,उद्दीष्ट
electronics,इलेक्ट्रॉनिक्स
trim,ट्रिम
